id,title,description,google_product_category,link,image_link,availability,price,sale_price,gtin,brand
0000000042,(행사) 제주삼다수 일반 500mL(20입),대한민국 1등 생수 제주삼다수,"Food, Beverages & Tobacco > Beverages > Water",https://samdasoo.ekdp.com/shop/goodsView/0000000042,https://samdasoo.ekdp.com/mall_data/images/product/00/00/00/00/42/m_0000000042.gif,in stock,9600,8832,8808244208013,제주삼다수
0000000043,(행사) 제주삼다수 일반 330mL(20입),대한민국 1등 생수 제주삼다수,"Food, Beverages & Tobacco > Beverages > Water",https://samdasoo.ekdp.com/shop/goodsView/0000000043,https://samdasoo.ekdp.com/mall_data/images/product/00/00/00/00/43/m_0000000043.gif,in stock,8600,7912,8808244100997,제주삼다수
0000000047,(행사) 제주삼다수 그린 1L(36입),대한민국 1등 생수 제주삼다수,"Food, Beverages & Tobacco > Beverages > Water",https://samdasoo.ekdp.com/shop/goodsView/0000000047,https://samdasoo.ekdp.com/mall_data/images/product/00/00/00/00/47/m_0000000047.gif,in stock,29160,24160,8808244101031,제주삼다수
0000000046,제주삼다수 그린 1L(36입),대한민국 1등 생수 제주삼다수,"Food, Beverages & Tobacco > Beverages > Water",https://samdasoo.ekdp.com/shop/goodsView/0000000046,https://scontent-icn2-1.xx.fbcdn.net/v/t45.5328-4/595292647_1208172307876172_1113734350968007967_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=1JAedmhf8C4Q7kNvwFXOmlu&_nc_oc=Adm_5-xTXj_Hz3wdvuHwB2e4cINSva1ZtZOSZfHigkYhyuYl6c_Y68spJ-4LOngDwTA&_nc_zt=23&_nc_ht=scontent-icn2-1.xx&_nc_gid=UH4u1iSghf0sg8r80newOg&oh=00_AfnEure9XejtrKn9qWRGu1t0jDlsMFijxbQQlUxt80gQFA&oe=693E85B3,in stock,29160,19160,8808244101031,제주삼다수









